,Facility Name,Resident Weeks,Covid Infections,Facility Infection Rate,County Infection Rate,Infection Score,Final Payment,Infection Rate,Rate Ratio
17313,STODDARD BAPTIST NURSING HOME,398.0,0,0.0,2.39,0.95,121365,0.0,0.0
17314,BRIDGEPOINT SUBACUTE AND REHAB NATIONAL HARBOR,412.0,0,0.0,2.39,0.99,127280,0.0,0.0
17315,LISNER LOUISE DICKSON HURTHOME,215.0,0,0.0,2.39,0.51,65562,0.0,0.0
17316,INGLESIDE AT ROCK CREEK,116.0,0,0.0,2.39,0.28,35373,0.0,0.0
17317,SIBLEY MEM HOSP RENAISSANCE,81.0,0,0.0,2.39,0.19,24700,0.0,0.0
17318,THE HSC PEDIATRIC SKILLED NURSING FACILITY,24.0,0,0.0,2.39,0.06,7319,0.0,0.0
17319,JEANNE JUGAN RESIDENCE,110.0,0,0.0,2.39,0.26,34179,0.0,0.0
17320,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,170.0,0,0.0,2.67,0.43,54169,0.0,0.0
17321,RIVER GARDEN HEBREW HOME FOR THE AGED,521.0,0,0.0,3.84,1.3,176004,0.0,0.0
17322,COMMUNITY CONVALESCENT CENTER,353.0,0,0.0,2.76,0.88,134976,0.0,0.0
17323,"MIAMI JEWISH HEALTH SYSTEMS, INC",1394.0,4,2.87,5.58,3.49,533021,2.8694404591104736,0.514336917562724
17324,"OCEAN VIEW NURSING & REHABILITATION CENTER, LLC",414.0,0,0.0,2.22,0.92,117234,0.0,0.0
17325,JUPITER MEDICAL CENTER PAVILION INC,37.0,0,0.0,2.54,0.09,11790,0.0,0.0
17326,SEASIDE HEALTH AND REHABILITATION CENTER,518.0,0,0.0,2.22,1.15,148453,0.0,0.0
17327,PINES NURSING HOME,160.0,0,0.0,5.58,0.4,50982,0.0,0.0
17328,BOULEVARD REHABILITATION CENTER,511.0,1,1.96,2.54,0.3,45841,1.9569471624266144,0.7716535433070866
17329,BAYSIDE CARE CENTER,345.0,0,0.0,2.67,0.86,130412,0.0,0.0
17330,BROWARD NURSING & REHABILITATION CENTER,474.0,0,0.0,3.35,1.19,151036,0.0,0.0
17331,MANOR PINES CONVALESCENT CENTER,480.0,0,0.0,3.35,1.2,158142,0.0,0.0
17332,SOUTH HERITAGE HEALTH & REHABILITATION CENTER,244.0,0,0.0,2.67,0.61,77748,0.0,0.0
17333,KRYSTAL BAY NURSING AND REHABILITATION,344.0,0,0.0,5.58,0.86,109612,0.0,0.0
17334,TERRACES OF LAKE WORTH CARE CENTER,291.0,0,0.0,2.54,0.73,92724,0.0,0.0
17335,MORTON PLANT REHABILITATION CENTER,313.0,0,0.0,2.67,0.78,100711,0.0,0.0
17336,LAKESIDE OAKS CARE CENTER,339.0,0,0.0,2.67,0.85,108019,0.0,0.0
17337,PARKSIDE HEALTH AND REHABILITATION CENTER,436.0,0,0.0,2.22,0.97,123464,0.0,0.0
17338,VENTURA HEALTH AND REHABILITATION CENTER,267.0,0,0.0,2.54,0.67,85077,0.0,0.0
17339,PINES OF SARASOTA,538.0,1,1.86,2.41,0.3,45633,1.858736059479554,0.7717842323651453
17340,NORTH REHABILITATION CENTER,160.0,0,0.0,2.67,0.4,50982,0.0,0.0
17341,PINECREST REHABILITATION CENTER,298.0,0,0.0,5.58,0.75,94955,0.0,0.0
17342,SARASOTA HEALTH AND REHABILITATION CENTER,407.0,0,0.0,2.41,0.98,125189,0.0,0.0
17343,MADISON POINTE CARE CENTER,411.0,0,0.0,2.82,1.03,140376,0.0,0.0
17344,WINTER HAVEN HEALTH AND REHABILITATION CENTER,352.0,0,0.0,2.82,0.88,114129,0.0,0.0
17345,HERITAGE HEALTHCARE & REHABILITATION CENTER,302.0,0,0.0,2.59,0.76,96229,0.0,0.0
17346,"CRESTVIEW REHABILITATION CENTER, LLC",459.0,0,0.0,4.1,1.15,174864,0.0,0.0
17347,THE LODGE HEALTH AND REHABILITATION CENTER,367.0,0,0.0,2.77,0.92,116941,0.0,0.0
17348,MANOR OAKS NURSING & REHABILITATION CENTER,304.0,0,0.0,3.35,0.76,96867,0.0,0.0
17349,LAURELLWOOD CARE CENTER,198.0,0,0.0,2.67,0.5,69370,0.0,0.0
17350,"SANDS AT SOUTH BEACH CARE CENTER, THE",718.0,0,0.0,5.58,1.8,232913,0.0,0.0
17351,HUNTINGTON PLACE,327.0,0,0.0,1.93,0.63,80508,0.0,0.0
17352,ROCKLEDGE HEALTH AND REHABILITATION CENTER,311.0,0,0.0,1.93,0.6,76569,0.0,0.0
17353,JACKSON MEMORIAL PERDUE MEDICAL CENTER,599.0,1,1.67,5.58,1.5,197185,1.669449081803005,0.2992831541218638
17354,JOHN KNOX VILLAGE OF POMPANO BEACH,600.0,1,1.67,3.35,1.01,151481,1.6666666666666667,0.49850746268656715
17355,FORT PIERCE HEALTH CARE,461.0,0,0.0,2.31,1.07,135977,0.0,0.0
17356,SEAVIEW NURSING AND REHABILITATION CENTER,191.0,0,0.0,3.35,0.48,73032,0.0,0.0
17357,MEDICANA NURSING AND REHAB CENTER,313.0,0,0.0,2.54,0.78,109115,0.0,0.0
17358,BOCA CIEGA CENTER,346.0,0,0.0,2.67,0.87,111105,0.0,0.0
17359,SOUTHERN PINES HEALTHCARE CENTER,396.0,0,0.0,2.82,0.99,151418,0.0,0.0
17360,EGRET COVE CENTER,350.0,0,0.0,2.67,0.88,118741,0.0,0.0
17361,CROSS POINTE CARE CENTER,344.0,0,0.0,3.35,0.86,109612,0.0,0.0
17362,BROOKSVILLE HEALTHCARE CENTER,505.0,0,0.0,2.65,1.26,160913,0.0,0.0
17363,WHISPERING OAKS,870.0,1,1.15,2.76,1.4,185665,1.1494252873563218,0.4166666666666667
17364,OAK HAVEN REHAB AND NURSING CENTER,337.0,0,0.0,2.82,0.84,107382,0.0,0.0
17365,"AVANTE AT LEESBURG, INC",392.0,0,0.0,2.79,0.98,149888,0.0,0.0
17366,DAYTONA BEACH HEALTH AND REHABILITATION CENTER,539.0,0,0.0,2.22,1.2,168400,0.0,0.0
17367,ST AUGUSTINE HEALTH AND REHABILITATION CENTER,425.0,1,2.35,3.48,0.48,65152,2.352941176470588,0.6752873563218391
17368,SUN TERRACE HEALTH CARE CENTER,409.0,0,0.0,2.76,1.02,152359,0.0,0.0
17369,HERITAGE PARK HEALTH AND REHABILITATION CENTER,373.0,0,0.0,2.82,0.93,118853,0.0,0.0
17370,"OAKS OF CLEARWATER, THE",178.0,0,0.0,2.67,0.45,56718,0.0,0.0
17371,ISLAND HEALTH AND REHABILITATION CENTER,359.0,0,0.0,1.93,0.69,90757,0.0,0.0
17372,CANTERBURY TOWERS INC,106.0,0,0.0,2.76,0.27,40531,0.0,0.0
17373,WINTER PARK CARE & REHABILITATION CENTER,329.0,0,0.0,2.95,0.82,104833,0.0,0.0
17374,"AVANTE AT MT DORA, INC",388.0,1,2.58,2.79,0.08,12741,2.577319587628866,0.924731182795699
17375,REHAB & HEALTHCARE CENTER OF CAPE CORAL,380.0,0,0.0,2.96,0.95,132675,0.0,0.0
17376,CROSS TERRACE REHABILITATION CENTER,280.0,0,0.0,2.67,0.7,99608,0.0,0.0
17377,CONCORDIA VILLAGE OF TAMPA,427.0,0,0.0,2.76,1.07,163271,0.0,0.0
17378,"ST CATHERINE LABOURE MANOR, INC",626.0,1,1.6,3.84,1.4,214361,1.5974440894568689,0.4166666666666667
17379,HARDEE MANOR HEALTHCARE CENTER,259.0,0,0.0,2.72,0.65,82528,0.0,0.0
17380,ST JOHNS NURSING CENTER,582.0,0,0.0,3.35,1.46,190187,0.0,0.0
17381,MAJESTIC OAKS,465.0,0,0.0,2.22,1.03,131676,0.0,0.0
17382,ST MARK VILLAGE,224.0,0,0.0,2.67,0.56,71375,0.0,0.0
17383,OAKS OF KISSIMMEE HEALTH AND REHABILITATION CENTER,168.0,0,0.0,4.02,0.42,53909,0.0,0.0
17384,SIGNATURE HEALTHCARE OF ORANGE PARK,356.0,1,2.81,3.23,0.15,23126,2.8089887640449436,0.8699690402476781
17385,SIGNATURE HEALTHCARE AT COLLEGE PARK,386.0,0,0.0,2.96,0.97,124617,0.0,0.0
17386,JACARANDA MANOR,750.0,0,0.0,2.67,1.88,246033,0.0,0.0
17387,JACKSON MEMORIAL LONG TERM CARE CENTER,660.0,0,0.0,5.58,1.65,212223,0.0,0.0
17388,BEAR CREEK NURSING CENTER,325.0,0,0.0,2.82,0.81,103558,0.0,0.0
17389,SEA BREEZE REHAB AND NURSING CENTER,381.0,0,0.0,2.32,0.88,124787,0.0,0.0
17390,BRIDGEVIEW CENTER,327.0,0,0.0,2.22,0.73,92598,0.0,0.0
17391,"WATERFORD, THE",173.0,0,0.0,2.54,0.43,55125,0.0,0.0
17392,TREASURE ISLE CARE CENTER,670.0,1,1.49,5.58,1.68,219181,1.492537313432836,0.2670250896057348
17393,HERON POINTE HEALTH AND REHABILITATION,418.0,0,0.0,2.65,1.05,133192,0.0,0.0
17394,BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER,462.0,0,0.0,2.41,1.11,142107,0.0,0.0
17395,HABANA HEALTH CARE CENTER,475.0,0,0.0,2.76,1.19,151973,0.0,0.0
17396,LOURDES-NOREEN MCKEEN RESIDENCE FOR GERIATRIC CARE,408.0,0,0.0,2.54,1.02,143881,0.0,0.0
17397,MANORCARE NURSING AND REHABILITATION CENTER,256.0,0,0.0,2.59,0.64,84268,0.0,0.0
17398,"CARE CENTER AT PINELLAS PARK, THE",436.0,1,2.29,2.67,0.16,22828,2.293577981651376,0.8576779026217228
17399,"TERRACE OF JACKSONVILLE, THE",671.0,0,0.0,3.84,1.68,213808,0.0,0.0
17400,WOODBRIDGE CARE CENTER,387.0,0,0.0,2.76,0.97,127125,0.0,0.0
17401,"REHABILITATION CENTER OF WINTER PARK, THE",544.0,0,0.0,2.95,1.36,176356,0.0,0.0
17402,COURTYARDS OF ORLANDO CARE CENTER,316.0,0,0.0,2.95,0.79,114891,0.0,0.0
17403,CROSS SHORES CARE CENTER,233.0,0,0.0,3.81,0.58,89092,0.0,0.0
17404,MANORCARE HEALTH SERVICES DUNEDIN,387.0,1,2.58,2.67,0.03,4925,2.5839793281653747,0.9662921348314607
17405,ORCHARD RIDGE,351.0,0,0.0,2.82,0.88,115446,0.0,0.0
17406,LAKESIDE PAVILION,296.0,0,0.0,2.59,0.74,94318,0.0,0.0
17407,TITUSVILLE REHABILITATION & NURSING CENTER,425.0,0,0.0,1.93,0.82,104957,0.0,0.0
17408,MIAMI SHORES NURSING AND REHAB CENTER,293.0,0,0.0,5.58,0.73,95346,0.0,0.0
17409,KENSINGTON GARDENS REHAB AND NURSING CENTER,458.0,0,0.0,2.67,1.15,155061,0.0,0.0
17410,MANORCARE HEALTH SERVICES SARASOTA,620.0,1,1.61,2.41,0.5,70293,1.6129032258064515,0.6680497925311203
17411,SIGNATURE HEALTHCARE OF ORMOND,192.0,0,0.0,2.22,0.43,54369,0.0,0.0
17412,CONSULATE HEALTH CARE OF NEW PORT RICHEY,459.0,1,2.18,2.82,0.3,45167,2.1786492374727673,0.773049645390071
17413,NORTH FLORIDA REHABILITATION AND SPECIALTY CARE,364.0,0,0.0,2.42,0.88,112388,0.0,0.0
17414,CLEWISTON NURSING & REHABILITATION,458.0,0,0.0,4.32,1.15,148941,0.0,0.0
17415,COURTENAY SPRINGS VILLAGE,232.0,0,0.0,1.93,0.45,58201,0.0,0.0
17416,"PONCE THERAPY CARE CENTER, THE",334.0,0,0.0,3.48,0.84,106426,0.0,0.0
17417,FERNANDINA BEACH REHABILITATION AND NURSING CENTER,342.0,0,0.0,3.74,0.86,109874,0.0,0.0
17418,REGENTS PARK NURSING & REHABILITATION CENTER,583.0,1,1.72,2.54,0.48,73817,1.7152658662092624,0.6771653543307087
17419,BAY POINTE NURSING PAVILION,396.0,0,0.0,2.67,0.99,134230,0.0,0.0
17420,ROSEWOOD HEALTH AND REHABILITATION CENTER,372.0,0,0.0,2.95,0.93,118534,0.0,0.0
17421,HAMLIN PLACE OF BOYNTON BEACH,334.0,0,0.0,2.54,0.84,106426,0.0,0.0
17422,GATEWAY CARE CENTER,419.0,0,0.0,2.67,1.05,133510,0.0,0.0
17423,GANDY CROSSING CARE CENTER,530.0,1,1.89,2.76,0.47,71135,1.8867924528301887,0.6847826086956522
17424,CONSULATE HEALTH CARE OF WEST PALM BEACH,64.0,0,0.0,2.54,0.16,16314,0.0,0.0
17425,ROYAL PALM BEACH HEALTH AND REHABILITATION CENTER,366.0,0,0.0,2.54,0.92,116622,0.0,0.0
17426,HILLCREST HEALTH CARE AND REHABILITATION CENTER,606.0,0,0.0,3.35,1.52,231715,0.0,0.0
17427,MANORCARE HEALTH SERVICES BOYNTON BEACH,518.0,1,1.93,2.54,0.32,48564,1.9305019305019306,0.7598425196850394
17428,PINEBROOK CENTER,327.0,0,0.0,2.41,0.79,120698,0.0,0.0
17429,SUSANNA WESLEY HEALTH CENTER,373.0,2,5.36,5.58,0.08,12482,5.361930294906166,0.960573476702509
17430,MANORCARE AT LELY PALMS,317.0,0,0.0,2.59,0.79,101009,0.0,0.0
17431,PARK SUMMIT AT CORAL SPRINGS,114.0,0,0.0,3.35,0.29,36325,0.0,0.0
17432,CONSULATE HEALTH CARE OF NORTH FORT MYERS,349.0,0,0.0,2.96,0.87,121111,0.0,0.0
17433,UNITY HEALTH AND REHABILITATION CENTER,969.0,2,2.06,5.58,2.42,317687,2.0639834881320946,0.36917562724014336
17434,HIALEAH SHORES NURSING AND REHAB CENTER,358.0,1,2.79,5.58,0.9,133492,2.793296089385475,0.5
17435,DEBARY HEALTH AND REHABILITATION CENTER,385.0,0,0.0,2.22,0.86,130826,0.0,0.0
17436,SOLARIS HEALTHCARE PLANT CITY,696.0,0,0.0,2.76,1.74,226437,0.0,0.0
17437,DARCY HALL OF LIFE CARE,505.0,1,1.98,2.54,0.28,41323,1.9801980198019802,0.7795275590551181
17438,NSPIRE HEALTHCARE PLANTATION,352.0,1,2.84,3.35,0.18,27627,2.840909090909091,0.8477611940298507
17439,CONSULATE HEALTH CARE OF BRANDON,338.0,0,0.0,2.76,0.85,129240,0.0,0.0
17440,"AVANTE AT BOCA RATON, INC.",378.0,0,0.0,2.54,0.95,144535,0.0,0.0
17441,BISHOPS GLEN RETIREMENT CENTER,130.0,0,0.0,2.22,0.29,36813,0.0,0.0
17442,SAN JOSE HEALTH AND REHABILITATION CENTER,305.0,0,0.0,3.84,0.76,97778,0.0,0.0
17443,HEALTHCARE AND REHAB OF SANFORD,339.0,0,0.0,2.37,0.8,107675,0.0,0.0
17444,SOLARIS HEALTHCARE BAYONET POINT,592.0,1,1.69,2.82,0.67,102572,1.6891891891891893,0.599290780141844
17445,TERRA VISTA REHAB AND HEALTH CENTER,391.0,0,0.0,2.95,0.98,149506,0.0,0.0
17446,FLAGLER HEALTH AND REHABILITATION CENTER,302.0,0,0.0,1.77,0.53,67982,0.0,0.0
17447,CONSULATE HEALTH CARE OF SAFETY HARBOR,458.0,0,0.0,2.67,1.15,153553,0.0,0.0
17448,VILLAGE ON THE GREEN,189.0,0,0.0,2.37,0.45,58761,0.0,0.0
17449,RENAISSANCE HEALTH AND REHABILITATION,389.0,0,0.0,2.54,0.97,124711,0.0,0.0
17450,"ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC",628.0,2,3.18,5.58,1.5,230139,3.1847133757961785,0.5698924731182796
17451,PALM GARDEN OF OCALA,625.0,0,0.0,2.77,1.56,232252,0.0,0.0
17452,RIO PINAR HEALTH CARE,664.0,1,1.51,2.95,0.96,132661,1.5060240963855422,0.5118644067796609
17453,PALM GARDEN OF WINTER HAVEN,341.0,0,0.0,2.82,0.85,108656,0.0,0.0
17454,PALM GARDEN OF GAINESVILLE,533.0,1,1.88,2.42,0.29,44535,1.876172607879925,0.7768595041322314
17455,POMPANO HEALTH AND REHABILITATION CENTER,435.0,0,0.0,3.35,1.09,138609,0.0,0.0
17456,PALM GARDEN OF LARGO,499.0,0,0.0,2.67,1.25,159002,0.0,0.0
17457,PALMETTO CARE CENTER,291.0,0,0.0,5.58,0.73,92724,0.0,0.0
17458,HARBOR BEACH NURSING AND REHABILITATION CENTER,203.0,0,0.0,3.35,0.51,64684,0.0,0.0
17459,CARLTON SHORES HEALTH AND REHABILITATION CENTER,420.0,0,0.0,2.22,0.93,118933,0.0,0.0
17460,OAK VIEW REHABILITATION CENTER,391.0,1,2.56,3.23,0.26,40437,2.557544757033248,0.7925696594427245
17461,CORAL TRACE HEALTH CARE,367.0,0,0.0,2.96,0.92,117317,0.0,0.0
17462,PALM GARDEN OF TAMPA,438.0,0,0.0,2.76,1.1,139564,0.0,0.0
17463,SURREY PLACE CARE CENTER,200.0,0,0.0,3.52,0.5,76474,0.0,0.0
17464,PALM GARDEN OF PORT SAINT LUCIE,350.0,0,0.0,2.31,0.81,107395,0.0,0.0
17465,HAWTHORNE HEALTH AND REHAB OF OCALA,329.0,0,0.0,2.77,0.82,104833,0.0,0.0
17466,RIVIERA PALMS REHABILITATION CENTER,303.0,0,0.0,2.92,0.76,105048,0.0,0.0
17467,COVENANT VILLAGE CARE CENTER,208.0,0,0.0,3.35,0.52,66277,0.0,0.0
17468,NSPIRE HEALTHCARE TAMARAC,414.0,1,2.42,3.35,0.39,51473,2.4154589371980677,0.7223880597014924
17469,PALM GARDEN OF AVENTURA,417.0,0,0.0,5.58,1.04,132873,0.0,0.0
17470,SILVERCREST HEALTH AND REHABILITATION CENTER,205.0,0,0.0,4.1,0.51,78386,0.0,0.0
17471,SUWANNEE HEALTH AND REHABILITATION CENTER,493.0,1,2.03,3.52,0.73,112305,2.028397565922921,0.5767045454545454
17472,AVANTE VILLA AT JACKSONVILLE BEACH INC,476.0,1,2.1,3.84,0.83,123530,2.100840336134454,0.546875
17473,HIGHLANDS LAKE CENTER,365.0,1,2.74,2.82,0.03,4472,2.73972602739726,0.971631205673759
17474,NORTH CAMPUS REHABILITATION AND NURSING CENTER,320.0,0,0.0,2.79,0.8,103706,0.0,0.0
17475,DEERFIELD BEACH HEALTH AND REHABILITATION CENTER,635.0,1,1.57,3.35,1.13,167829,1.574803149606299,0.46865671641791046
17476,WEST GABLES HEALTH CARE CENTER,274.0,1,3.65,5.58,0.53,80927,3.6496350364963503,0.6541218637992832
17477,"COURT AT PALM AIRE, THE",182.0,0,0.0,3.35,0.46,57993,0.0,0.0
17478,REHABILITATION CENTER AT PARK PLACE,339.0,1,2.95,3.72,0.26,39787,2.949852507374631,0.793010752688172
17479,SURREY PLACE HEALTHCARE AND REHABILITATION,212.0,0,0.0,2.92,0.53,68021,0.0,0.0
17480,MARSHALL HEALTH AND REHABILITATION CENTER,425.0,0,0.0,3.08,1.06,135422,0.0,0.0
17481,HARTS HARBOR HEALTH CARE CENTER,600.0,1,1.67,3.84,1.3,170205,1.6666666666666667,0.4348958333333333
17482,MELBOURNE TERRACE REHABILITATION CENTER,621.0,0,0.0,1.93,1.2,161382,0.0,0.0
17483,MARIANNA HEALTH AND REHABILITATION CENTER,471.0,0,0.0,3.31,1.18,159148,0.0,0.0
17484,NORTH LAKE CARE CENTER,257.0,0,0.0,2.54,0.64,81891,0.0,0.0
17485,FLETCHER HEALTH AND REHABILITATION CENTER,449.0,0,0.0,2.76,1.12,146194,0.0,0.0
17486,CYPRESS CARE CENTER,607.0,0,0.0,2.53,1.52,232098,0.0,0.0
17487,BAYSHORE POINTE NURSING AND REHAB CENTER,380.0,0,0.0,2.76,0.95,121083,0.0,0.0
17488,GOOD SAMARITAN SOCIETY-DAYTONA,303.0,0,0.0,2.22,0.67,85802,0.0,0.0
17489,CONSULATE HEALTH CARE OF ORANGE PARK,332.0,0,0.0,3.23,0.83,105789,0.0,0.0
17490,WESTCHESTER GARDENS HEALTH & REHABILITATION,417.0,0,0.0,2.67,1.04,132873,0.0,0.0
17491,"NURSING CENTER AT FREEDOM VILLAGE, THE",280.0,0,0.0,2.92,0.7,89219,0.0,0.0
17492,ADVENTHEALTH CARE CENTER ZEPHYRHILLS SOUTH,302.0,0,0.0,2.82,0.76,115450,0.0,0.0
17493,OASIS HEALTH AND REHABILITATION CENTER,316.0,0,0.0,2.54,0.79,120828,0.0,0.0
17494,OAKTREE HEALTHCARE,193.0,0,0.0,2.22,0.43,54653,0.0,0.0
17495,REGENTS PARK OF SUNRISE,433.0,0,0.0,3.35,1.08,137971,0.0,0.0
17496,OAKBROOK HEALTH AND REHABILITATION CENTER,312.0,0,0.0,4.32,0.78,99416,0.0,0.0
17497,HEARTLAND HEALTH CARE CENTER JACKSONVILLE,311.0,1,3.22,3.84,0.19,29533,3.215434083601286,0.8385416666666667
17498,MENORAH HOUSE,315.0,0,0.0,2.54,0.79,120446,0.0,0.0
17499,SOLARIS HEALTHCARE PARKWAY,639.0,0,0.0,2.16,1.38,177382,0.0,0.0
17500,BON SECOURS MARIA MANOR NURSING CARE CENTER,807.0,1,1.24,2.67,1.15,152258,1.2391573729863692,0.46441947565543074
17501,HIGHLAND PINES REHABILITATION CENTER,342.0,0,0.0,2.67,0.86,87180,0.0,0.0
17502,HEARTLAND HEALTH CARE CENTER ORANGE PARK,330.0,0,0.0,3.23,0.83,116305,0.0,0.0
17503,CONSULATE HEALTH CARE OF LAKE PARKER,359.0,0,0.0,2.82,0.9,137270,0.0,0.0
17504,SABAL PALMS HEALTH & REHABILITATION,796.0,0,0.0,2.67,1.99,304365,0.0,0.0
17505,WINDSOR HEALTH AND REHABILITATION CENTER,332.0,1,3.01,6.15,0.83,117620,3.0120481927710845,0.48943089430894304
17506,TARPON POINT NURSING AND REHABILITATION CENTER,390.0,0,0.0,2.41,0.94,119960,0.0,0.0
17507,OCOEE HEALTH CARE CENTER,315.0,0,0.0,2.95,0.79,100372,0.0,0.0
17508,FOURAKER HILLS REHAB AND NURSING CENTER,302.0,0,0.0,3.84,0.76,101679,0.0,0.0
17509,MANORCARE HEALTH SERVICES PALM HARBOR,617.0,0,0.0,2.67,1.54,201396,0.0,0.0
17510,JACKSONVILLE NURSING AND REHAB CENTER,417.0,0,0.0,3.84,1.04,133503,0.0,0.0
17511,SINAI PLAZA NURSING & REHAB CENTER,484.0,0,0.0,5.58,1.21,169396,0.0,0.0
17512,ALPINE HEALTH AND REHABILITATION CENTER,191.0,0,0.0,2.67,0.48,60860,0.0,0.0
17513,HAMPTON COURT NURSING AND REHABILITATION CENTER,366.0,0,0.0,5.58,0.92,139947,0.0,0.0
17514,CENTRAL PARK HEALTHCARE AND REHABILITATION CENTER,468.0,0,0.0,2.76,1.17,158068,0.0,0.0
17515,PALACE AT KENDALL NURSING AND REHABILITATION CENTE,634.0,0,0.0,5.58,1.59,202018,0.0,0.0
17516,MAYFLOWER HEALTHCARE CENTER,191.0,0,0.0,2.95,0.48,60860,0.0,0.0
17517,HEARTLAND HEALTH CARE CENTER FORT MYERS,325.0,0,0.0,2.96,0.81,103558,0.0,0.0
17518,"HOME ASSOCIATION, THE",269.0,0,0.0,2.76,0.67,94805,0.0,0.0
17519,COMMONS AT ORLANDO LUTHERAN TOWERS,579.0,0,0.0,2.95,1.45,210990,0.0,0.0
17520,PALM GARDEN OF PINELLAS,427.0,0,0.0,2.67,1.07,136059,0.0,0.0
17521,ORANGE CITY NURSING AND REHAB CENTER,408.0,0,0.0,2.22,0.91,115535,0.0,0.0
17522,MACCLENNY NURSING AND REHAB CENTER,350.0,0,0.0,3.23,0.88,119669,0.0,0.0
17523,SOLARIS HEALTHCARE IMPERIAL,317.0,0,0.0,2.59,0.79,105785,0.0,0.0
17524,SYLVAN HEALTH CENTER,178.0,0,0.0,2.67,0.45,56718,0.0,0.0
17525,ABBEY REHABILITATION AND NURSING CENTER,465.0,0,0.0,2.67,1.16,154561,0.0,0.0
17526,LIFE CARE CENTER OF HILLIARD,370.0,0,0.0,3.74,0.93,121201,0.0,0.0
17527,WESTMINSTER TOWERS,404.0,1,2.48,2.95,0.19,29172,2.4752475247524752,0.8406779661016949
17528,SUNSET LAKE HEALTH AND REHABILITATION CENTER,280.0,0,0.0,2.41,0.68,68900,0.0,0.0
17529,HEARTLAND HEALTH CARE CENTER PROSPERITY OAKS,363.0,0,0.0,2.54,0.91,115666,0.0,0.0
17530,CONSULATE HEALTH CARE OF TALLAHASSEE,363.0,0,0.0,3.18,0.91,130996,0.0,0.0
17531,GARDENS CARE CENTER,371.0,0,0.0,5.58,0.93,119308,0.0,0.0
17532,BREEZE CARE CENTER,329.0,0,0.0,2.41,0.79,114134,0.0,0.0
17533,PORT ORANGE NURSING AND REHAB CENTER,411.0,0,0.0,2.22,0.91,116384,0.0,0.0
17534,"CROSSROADS, THE",154.0,0,0.0,2.82,0.39,49071,0.0,0.0
17535,ADVENTHEALTH CARE CENTER ORLANDO EAST,419.0,0,0.0,2.95,1.05,133510,0.0,0.0
17536,THE GARDENS AT DEPUGH,156.0,0,0.0,2.95,0.39,57200,0.0,0.0
17537,CONSULATE HEALTH CARE OF BAYONET POINT,412.0,0,0.0,2.82,1.03,132104,0.0,0.0
17538,DELANEY PARK HEALTH AND REHABILITATION CENTER,292.0,0,0.0,2.95,0.73,93043,0.0,0.0
17539,LIFE CARE CENTER OF WINTER HAVEN,519.0,1,1.93,2.82,0.46,70890,1.9267822736030829,0.6843971631205674
17540,CORAL BAY HEALTHCARE AND REHABILITATION,439.0,0,0.0,2.54,1.1,139883,0.0,0.0
17541,SUNRISE CITY POST-ACUTE AND REHABILITATION CENTER,271.0,0,0.0,2.31,0.63,79934,0.0,0.0
17542,"WINDSOR CARE & REHAB, LLC",153.0,0,0.0,3.54,0.38,50917,0.0,0.0
17543,MADISON HEALTH AND REHABILITATION CENTER,163.0,0,0.0,3.34,0.41,62326,0.0,0.0
17544,LAKEWOOD NURSING CENTER,270.0,0,0.0,3.54,0.68,86033,0.0,0.0
17545,"MIRACLE HILL NURSING & REHABILITATION CENTER, INC",274.0,0,0.0,3.18,0.69,104769,0.0,0.0
17546,PARK RIDGE NURSING CENTER,262.0,0,0.0,3.84,0.66,83484,0.0,0.0
17547,TIFFANY HALL NURSING AND REHAB CENTER,295.0,0,0.0,2.31,0.68,98462,0.0,0.0
17548,UNIVERSITY CROSSING,419.0,1,2.39,3.84,0.61,92903,2.3866348448687353,0.6223958333333334
17549,TAYLOR CARE CENTER,279.0,0,0.0,3.84,0.7,88901,0.0,0.0
17550,"GARDENS HEALTH & REHABILITATION CENTER, THE",387.0,0,0.0,2.22,0.86,109588,0.0,0.0
17551,CROSSWINDS HEALTH AND REHABILITATION CENTER,173.0,0,0.0,3.34,0.43,58704,0.0,0.0
17552,SUWANNEE VALLEY NURSING CENTER,215.0,0,0.0,4.19,0.54,68508,0.0,0.0
17553,EDGEWOOD NURSING CENTER,190.0,0,0.0,3.84,0.48,61692,0.0,0.0
17554,FINNISH-AMERICAN VILLAGE,179.0,0,0.0,2.54,0.45,57037,0.0,0.0
17555,WATERS EDGE HEALTH AND REHABILITATION,106.0,0,0.0,2.16,0.23,29244,0.0,0.0
17556,PALM CITY NURSING & REHAB CENTER,343.0,0,0.0,2.16,0.74,113557,0.0,0.0
17557,"GARDENS OF PORT ST LUCIE, THE",108.0,0,0.0,2.31,0.25,38227,0.0,0.0
17558,"CATHEDRAL GERONTOLOGY CENTER, INC",347.0,0,0.0,3.84,0.87,114651,0.0,0.0
17559,"CROSSINGS, THE",183.0,0,0.0,2.54,0.46,58311,0.0,0.0
17560,EMORY L BENNETT MEMORIAL VETERANS NURSING HOME,355.0,0,0.0,2.22,0.79,105233,0.0,0.0
17561,BAYA POINTE NURSING AND REHABILITATION CENTER,282.0,1,3.55,3.61,0.02,2734,3.5460992907801416,0.9833795013850415
17562,STRATFORD COURT OF BOCA RATON,133.0,0,0.0,2.54,0.33,42379,0.0,0.0
